,Race to CME Globe Final,Race to CME Globe Season,Official Money List,Average Driving Distance,Driving Accuracy,Greens in Regulation,Putts per GIR,Putting Average,Sand Saves,Scoring Average,Rounds Under Par,Birdies,Eagles,Rounds in the 60's,Sub Par Holes,Holes in One,Total Rounds Played,Total Events Played,US Solheim Cup Points,Rolex Player of the Year,Rolex Rookie of the Year,Year
Ranking,-,-,-,-,-,-,-,-,-,-,-,200,-,-,200,-,199,202,-,-,-,2022
Ranking,-,-,41,33,127,32,25,53,55,36,42,29,19,32,29,-,28,4,5,34,-,2013
Ranking,-,115,105,27,155,124,120,76,19,116,122,87,41,153,87,-,74,44,24,90,-,2016
Ranking,-,-,64,4,161,69,119,119,79,92,80,65,20,93,65,-,55,28,12,68,-,2012
Ranking,-,-,18,4,133,19,59,106,99,24,30,23,51,20,51,-,34,33,-,17,-,2011
Ranking,15,21,19,28,80,27,19,43,28,25,31,39,62,31,39,-,47,48,-,16,-,2017
Ranking,-,-,9,1,135,5,82,124,66,18,14,30,19,12,27,1,48,45,4,11,9999,2010
Ranking,-,-,14,4,144,21,5,37,43,9,4,13,17,5,14,2,49,69,4,12,3,2009
Ranking,49,36,39,33,128,28,48,62,128,25,27,82,58,22,82,-,97,133,-,33,-,2018
Ranking,3,4,4,22,127,3,4,42,38,3,3,36,6,5,32,-,62,72,2,4,-,2014
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9999,9999,9999,2007
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9999,9999,9999,2008
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9999,9999,9999,2006
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9999,9999,9999,2005
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2020
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2004
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2003
Ranking,-,160,154,-,-,-,-,-,-,-,-,170,122,-,170,-,168,170,-,-,-,2021
Ranking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002
Ranking,-,154,159,-,-,-,-,-,-,-,-,186,136,-,185,-,181,186,-,-,-,2019
Ranking,51,67,49,26,136,50,35,85,71,53,56,59,6,75,59,-,62,53,12,-,-,2015
