,Date,Tournament Name,1,2,3,4,Total,Final POS,TOT Strokes,TOT Rounds,Score AVG,Official Money
0,08/02/02,Wendy's Championship for Children at Tartan Fields,77 (+5),75 (+3),-,-,152 (+8),CUT,152,2,76.0,$0.00
1,05/16/02,Asahi Ryokuken International Championship at Mount Vintage,81 (+10),75 (+4),-,-,156 (+14),CUT,156,2,78.0,$0.00
2,02/28/02,LPGA Takefuji Classic,72 (+2),74 (+4),-,-,146 (+6),CUT,146,2,73.0,$0.00
3,10/31/03,CJ Nine Bridges Classic Presented By Sports Today,85 (+13),78 (+6),70 (-2),-,233 (+17),69,233,3,77.667,$0.00
4,09/26/03,Safeway Classic Presented by Pepsi,69 (-3),72 (E),73 (+1),-,214 (-2),28T,214,3,71.333,$0.00
5,08/14/03,Jamie Farr Kroger Classic Presented by ALLTEL,73 (+2),72 (+1),-,-,145 (+3),CUT,145,2,72.5,$0.00
6,07/03/03,U.S. Women's Open,73 (+2),73 (+2),76 (+5),76 (+5),298 (+14),39T,298,4,74.5,$0.00
7,06/27/03,ShopRite LPGA Classic,71 (E),72 (+1),72 (+1),-,215 (+2),52T,215,3,71.667,$0.00
8,04/25/03,Chick-fil-A Charity Championship hosted by Nancy Lopez,72 (E),70 (-2),71 (-1),-,213 (-3),33T,213,3,71.0,$0.00
9,03/27/03,Kraft Nabisco Championship,72 (E),74 (+2),66 (-6),76 (+4),288 (E),09T,288,4,72.0,$0.00
10,10/14/04,Samsung World Championship,74 (+2),72 (E),67 (-5),70 (-2),283 (-5),13T,283,4,70.75,$0.00
11,08/19/04,Wendy's Championship for Children,73 (+1),69 (-3),71 (-1),69 (-3),282 (-6),06T,282,4,70.5,$0.00
12,07/21/04,Evian Masters,71 (-1),71 (-1),76 (+4),69 (-3),287 (-1),33T,287,4,71.75,$0.00
13,07/01/04,U.S. Women's Open,71 (E),70 (-1),71 (E),73 (+2),285 (+1),13T,285,4,71.25,$0.00
14,05/06/04,Michelob ULTRA Open at Kingsmill,72 (+1),67 (-4),73 (+2),72 (+1),284 (E),12T,284,4,71.0,$0.00
15,03/25/04,Kraft Nabisco Championship,69 (-3),72 (E),69 (-3),71 (-1),281 (-7),04,281,4,70.25,$0.00
16,03/18/04,Safeway International Presented By Coca-Cola,72 (E),67 (-5),70 (-2),77 (+5),286 (-2),19T,286,4,71.5,$0.00
17,10/13/05,Samsung World Championship,70 (-2),65 (-7),-,-,135 (-9),DQ,135,2,67.5,$0.00
18,07/28/05,Weetabix Women's British Open,75 (+3),67 (-5),67 (-5),69 (-3),278 (-10),03T,278,4,69.5,$0.00
19,07/20/05,Evian Masters,75 (+3),70 (-2),68 (-4),68 (-4),281 (-7),02T,281,4,70.25,$0.00
20,06/23/05,U.S. Women's Open,69 (-2),73 (+2),72 (+1),82 (+11),296 (+12),23T,296,4,74.0,$0.00
21,06/09/05,McDonald's LPGA Championship presented by Coca-Cola,69 (-3),71 (-1),71 (-1),69 (-3),280 (-8),02,280,4,70.0,$0.00
22,03/24/05,Kraft Nabisco Championship,70 (-2),74 (+2),73 (+1),71 (-1),288 (E),14T,288,4,72.0,$0.00
23,03/17/05,Safeway International Presented By Coca-Cola,73 (+1),67 (-5),73 (+1),71 (-1),284 (-4),12T,284,4,71.0,$0.00
24,02/24/05,SBS Open at Turtle Bay,70 (-2),70 (-2),70 (-2),-,210 (-6),02T,210,3,70.0,$0.00
25,10/12/06,Samsung World Championship,74 (+2),72 (E),72 (E),75 (+3),293 (+5),17,293,4,73.25,$0.00
26,08/03/06,Weetabix Women's British Open,74 (+2),74 (+2),72 (E),74 (+2),294 (+6),26T,294,4,73.5,$0.00
27,07/26/06,Evian Masters,69 (-3),66 (-6),70 (-2),68 (-4),273 (-15),02T,273,4,68.25,$0.00
28,07/06/06,HSBC Women's World Match Play Championship,-,-,-,-,0 (E),05T,0,0,0.0,$0.00
29,06/29/06,U.S. Women's Open Championship Conducted By The USGA,70 (-1),72 (+1),71 (E),73 (+2),286 (+2),03T,286,4,71.5,$0.00
